,title,lat,lng,price,link,time,duration,address,neighborhood,points,obs,category,mail
890,Statue Le faune dansant,48.84429,2.33594,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France",Neighborhood: 6th Arr. - Luxembourg,4,"#1,094 of 3,296 things to do in Paris",Monuments & Statues,
891,Cafe de la Danse,48.85406,2.37293,0,404,404,01:30:00,"5 Passage Louis Philippe, 75011 Paris France",Neighborhood: Bastille / Oberkampf,34,"#589 of 3,296 things to do in Paris",Theaters,Visit websiteCallEmail
892,Jardins des Archives Nationales,48.85997,2.3573,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:30:00,"60, rue des Francs Bourgeois, 75003 Paris France",Neighborhood: 3rd Arr. - Temple,4,"#967 of 3,296 things to do in Paris",Parks • Gardens,
893,Monument a Guy de Maupassant,48.880302,2.309041,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,404,Neighborhood: 8th Arr. - Élysée,5,"#1,209 of 3,296 things to do in Paris",Monuments & Statues,
894,Monument à Aristide Briand,48.86272,2.31584,0,404,404,01:00:00,"37 quai D Orsay, 75007 Paris France",Neighborhood: Tour Eiffel / Invalides,6,"#755 of 3,296 things to do in Paris",Monuments & Statues,Visit website
896,Eglise Saint Germain de Charonne,48.86028,2.40437,0,404,404,01:00:00,"122 rue de Bagnolet, 75020 Paris France",Neighborhood: Charonne,12,"#660 of 3,296 things to do in Paris",Churches & Cathedrals,Visit website
897,Théâtre Le Passage vers les Etoiles,48.86286,2.38257,0,404,404,01:30:00,"17 Cite Joly, 75011 Paris France",Neighborhood: Saint-Ambroise,11,"#729 of 3,296 things to do in Paris",Theaters,Visit websiteCallEmail
898,Chateau d'Eau de Montmartre,48.88758,2.34164,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"14 rue du Mont Cenis, 75018 Paris France",Neighborhood: 18th Arr. - Buttes-Montmartre,4,"#1,289 of 3,296 things to do in Paris",Points of Interest & Landmarks,
899,Fresque Chuuuttt !!!,48.85935,2.3505,0,/Restaurants-g187147-Paris_Ile_de_France.html,12:00 AM - 11:59 PM,01:00:00,"1 Place Igor Stravinsky, 75004 Paris France",Neighborhood: 4th Arr. - Hôtel-de-Ville,6,"#812 of 3,296 things to do in Paris",Points of Interest & Landmarks,
900,Marche Auguste Blanqui,48.83021,2.34743,0,404,404,01:00:00,"Boulevard Auguste Blanqui Entre Place D'Italie et rue Barrault, 75013 Paris France",Neighborhood: Croulebarbe,2,"#1,493 of 3,296 things to do in Paris",Farmers Markets,Visit websiteCall
901,Monument à la France La Belgique reconnaissante.,48.86488,2.30331,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"1 Place de la Reine Astrid, 75008 Paris France",Neighborhood: Champs-Élysées,4,"#1,113 of 3,296 things to do in Paris",Monuments & Statues,
902,Statue L'Industrie,48.85885,2.332694,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,404,Neighborhood: Saint-Thomas-d'Aquin,8,"#725 of 3,296 things to do in Paris",Monuments & Statues,
903,Les Fils de Caïn,48.86263,2.325082,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"1 Jardin des Tuileries Terrasse du Bord de l'Eau, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,5,"#1,562 of 3,296 things to do in Paris",Monuments & Statues,
904,Maison Eymonaud,48.88576,2.33267,0,404,404,01:00:00,"7 impasse Marie Blanche, 75018 Paris France",Neighborhood: 18th Arr. - Buttes-Montmartre,3,"#1,305 of 3,296 things to do in Paris",Historic Sites • Architectural Buildings,Visit website
905,La Statue de Charles Leconte de Lisle,48.8465,2.34061,0,404,404,01:00:00,"69 boulevard Saint Michel Inside the Jardin du Luxembourg, 75005 Paris France",Neighborhood: 5th Arr. - Panthéon,4,"#1,092 of 3,296 things to do in Paris",Monuments & Statues,Visit website
906,Square Sarah Bernhardt,48.84911,2.40256,0,404,404,01:00:00,"2 rue de Buzenval, 75020 Paris France",Neighborhood: Charonne,10,"#861 of 3,296 things to do in Paris",Parks,Visit website
907,Cavalier Gaulois,48.859383,2.292718,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,404,Neighborhood: Gros-Caillou,9,"#773 of 3,296 things to do in Paris",Monuments & Statues,
908,Le Comedia,48.86982,2.35477,0,404,404,01:30:00,"4 boulevard de Strasbourg, 75010 Paris France",Neighborhood: 10th Arr. - Entrepôt,11,"#770 of 3,296 things to do in Paris",Theaters,Visit websiteCall
909,Monument du Corps Expeditionnaire Russe,48.86475,2.310197,0,404,404,01:00:00,"1 Place du Canada, 75008 Paris France",Neighborhood: Champs-Élysées,18,"#648 of 3,296 things to do in Paris",Points of Interest & Landmarks,Visit website
910,Eglise Notre Dame du Perpetuel Secours,48.86165,2.38715,0,404,404,01:00:00,"55 boulevard de Menilmontant, 75011 Paris France",Neighborhood: Roquette,5,"#1,041 of 3,296 things to do in Paris",Churches & Cathedrals,Visit websiteCall
911,Le Défenseur du Temps,48.86224,2.35263,0,/RestaurantsNear-g187147-d8476966-Le_Defenseur_du_Temps-Paris_Ile_de_France.html,404,01:00:00,"8 rue Bernard de Clairvaux, 75003 Paris France",Neighborhood: 3rd Arr. - Temple,18,"#1,765 of 3,296 things to do in Paris",Monuments & Statues,
912,Statue de Foch,48.863007,2.287185,0,/RestaurantsNear-g187147-d14133162-Statue_de_Foch-Paris_Ile_de_France.html,12:00 AM - 11:59 PM,01:00:00,"Place du Trocadero, 75016 Paris France",Neighborhood: 16th Arr. - Passy,15,"#682 of 3,296 things to do in Paris",Monuments & Statues,
913,Buste de Gustave Eiffel,48.8588,2.2946,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"5 avenue Anatole France, 75007 Paris France",Neighborhood: Gros-Caillou,8,"#910 of 3,296 things to do in Paris",Monuments & Statues,
914,Square Marcel Pagnol,48.87555,2.31991,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"12 rue de Laborde, 75008 Paris France",Neighborhood: 8th Arr. - Élysée,5,"#1,121 of 3,296 things to do in Paris",Parks,
915,Fresque Accident à la Gare Montparnasse,48.83946,2.32168,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"66 avenue du Maine, 75014 Paris France",Neighborhood: Montparnasse,4,"#1,134 of 3,296 things to do in Paris",Points of Interest & Landmarks,
916,Médiathèque Françoise Sagan,48.87558,2.35349,0,404,404,01:00:00,"8 rue Leon Schwartzenberg, 75010 Paris France",Neighborhood: Porte-Saint-Denis,3,"#1,220 of 3,296 things to do in Paris",Libraries,Visit website
917,Festival Rock en Seine,48.83988,2.220857,0,404,404,01:30:00,"Parc de Saint-Cloud,Saint-Cloud Domaine national de Saint-Cloud, 92210 Paris France",404,28,"#1,163 of 3,296 things to do in Paris",Music Festivals,Visit website
918,Fontaine des Ambassadeurs,48.86949,2.30855,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Avenue des Champs-Élysées, 75008 Paris France",Neighborhood: Champs-Élysées,6,"#810 of 3,296 things to do in Paris",Fountains,
919,Statue de la Liberte,48.84429,2.33594,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France",Neighborhood: 6th Arr. - Luxembourg,5,"#1,171 of 3,296 things to do in Paris",Monuments & Statues,
920,Theatre de L'Archipel,48.87046,2.35466,0,404,404,01:30:00,"17 boulevard de Strasbourg, 75010 Paris France",Neighborhood: Porte-Saint-Denis,15,"#829 of 3,296 things to do in Paris",Theaters,Visit websiteCall
921,Theatre Guichet Montparnasse,48.84056,2.32232,0,404,404,01:30:00,"15 rue du Maine 14th, 75014 Paris France",Neighborhood: Montparnasse,7,"#698 of 3,296 things to do in Paris",Theaters,Visit websiteCall
923,Square Charles Péguy,48.83847,2.40666,0,404,404,01:00:00,"21 rue Rottembourg, 75012 Paris France",Neighborhood: 12th Arr. - Reuilly,5,"#1,047 of 3,296 things to do in Paris",Gardens,Visit website
924,Eglise Saint Dominique,48.832405,2.334875,0,404,404,01:00:00,"Rue de la Tombe Issoire, 75014 Paris France",Neighborhood: Petit-Montrouge,3,"#1,129 of 3,296 things to do in Paris",Churches & Cathedrals,Call
925,Statue Equestre de Jeanne d'Arc,48.875423,2.319507,0,404,12:00 AM - 11:59 PM,01:00:00,"Place Saint-Augustin, 75008 Paris France",Neighborhood: 8th Arr. - Élysée,11,"#744 of 3,296 things to do in Paris",Points of Interest & Landmarks • Monuments & Statues,Visit website
926,Piscine Georges Vallerey,48.87539,2.40619,0,404,404,01:30:00,"148 avenue Gambetta 20th Arrondissement, 75020 Paris France",Neighborhood: Saint-Fargeau,16,"#1,311 of 3,296 things to do in Paris",Sports Complexes • Water Parks,Visit websiteCall
927,Eglise Saint Jacques Saint Christophe de la Villette,48.88915,2.37949,0,404,404,01:00:00,"6 Place de Bitche, 75019 Paris France",Neighborhood: La Villette,5,"#1,569 of 3,296 things to do in Paris",Churches & Cathedrals,Call
928,Square Claude Charpentier,48.887314,2.342327,0,404,404,01:30:00,"14 rue du Mont-Cenis, 75108 Paris France",Neighborhood: 18th Arr. - Buttes-Montmartre,7,"#894 of 3,296 things to do in Paris",Parks,Visit website
929,"La statue ""Annibal""",48.86263,2.325082,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"1 Jardin des Tuileries, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,9,"#670 of 3,296 things to do in Paris",Monuments & Statues,
930,Jardins d'Éole,48.886333,2.365611,0,/RestaurantsNear-g187147-d3152868-Jardins_d_Eole-Paris_Ile_de_France.html,404,01:30:00,"56 rue d Aubervilliers rue Riquet, 75018 Paris France",Neighborhood: 18th Arr. - Buttes-Montmartre,16,"#3,097 of 3,296 things to do in Paris",Gardens,
931,Statue L'Abondance,48.858845,2.332603,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,404,Neighborhood: Faubourg Saint-Germain,8,"#724 of 3,296 things to do in Paris",Monuments & Statues,
932,Fontaine des Quatre Saisons,48.85469,2.32513,0,/RestaurantsNear-g187147-d194195-Fontaine_des_Quatre_Saisons-Paris_Ile_de_France.html,404,01:30:00,"57 rue de Grenelle, 75007 Paris France",Neighborhood: Tour Eiffel / Invalides,11,"#728 of 3,296 things to do in Paris",Fountains,
933,Immeuble 3 Square Rapp,48.85881,2.3012,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:30:00,"3 Square Rapp, 75007 Paris France",Neighborhood: Gros-Caillou,2,"#1,365 of 3,296 things to do in Paris",Architectural Buildings,
934,Hôtel de Matignon,48.85471,2.32072,0,404,404,01:30:00,"57 rue de Varenne, 75007 Paris France",Neighborhood: Tour Eiffel / Invalides,4,"#1,646 of 3,296 things to do in Paris",Historic Sites • Government Buildings,Visit websiteCall
935,Cité Véron,48.884262,2.33169,0,/RestaurantsNear-g187147-d3928887-Cite_Veron-Paris_Ile_de_France.html,404,01:30:00,404,Neighborhood: 18th Arr. - Buttes-Montmartre,11,"#1,339 of 3,296 things to do in Paris",Points of Interest & Landmarks,
936,Statue Etienne Marcel,48.855648,2.352045,0,404,404,01:00:00,"1341 Quai de l'Hôtel de ville, 75004 Paris France",Neighborhood: Le Marais,10,"#1,010 of 3,296 things to do in Paris",Monuments & Statues,Visit website
937,Statue du capitaine Dreyfus,48.84475,2.329013,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:30:00,"Place Pierre Lafue, 75006 Paris France",Neighborhood: 6th Arr. - Luxembourg,6,"#1,198 of 3,296 things to do in Paris",Points of Interest & Landmarks • Monuments & Statues,
938,Monument Jules Ferry,48.86311,2.3285,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Rue du Rivoli Jardin des Tuileries, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,7,"#1,023 of 3,296 things to do in Paris",Monuments & Statues,
939,Peniche Anako,48.88503,2.373389,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:30:00,"Quai de la Seine, 75013 Paris France",Neighborhood: La Villette,6,"#1,240 of 3,296 things to do in Paris",Theaters,
940,Eglise Notre-Dame de la Croix de Menilmontant,48.86842,2.386944,0,404,404,01:30:00,"3 Place de Menilmontant, 75020 Paris France",Neighborhood: Belleville / Père Lachaise,18,"#563 of 3,296 things to do in Paris",Churches & Cathedrals,Visit websiteCall
941,Galerie J. Kugel,48.86187,2.321486,0,404,404,01:30:00,"25 quai Anatole France, 75007 Paris France",Neighborhood: Tour Eiffel / Invalides,8,"#776 of 3,296 things to do in Paris",Art Galleries,Visit websiteCallEmail
942,Immeuble du 61 rue Reaumur,48.86645,2.35079,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"61 rue Reaumur, 75002 Paris France",Neighborhood: Bonne-Nouvelle,3,"#1,269 of 3,296 things to do in Paris",Architectural Buildings,
943,Square du Général Morin,48.86584,2.355533,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Rue Réaumur, 75003 Paris France",Neighborhood: 3rd Arr. - Temple,4,"#1,280 of 3,296 things to do in Paris",Points of Interest & Landmarks,
944,Square Suzanne-Buisson,48.88793,2.3376,0,404,404,01:00:00,"7Bis Rue Girardon, 75018 Paris France",Neighborhood: 18th Arr. - Buttes-Montmartre,9,"#1,004 of 3,296 things to do in Paris",Parks,Visit websiteCall
945,Monument a Jean Moulin,48.86945,2.31507,0,/Restaurants-g187147-Paris_Ile_de_France.html,12:00 AM - 11:59 PM,01:00:00,"Avenue de Marigny Jardin des Champs Elysees, 75008 Paris France",Neighborhood: Champs-Élysées,6,"#1,098 of 3,296 things to do in Paris",Monuments & Statues,
946,Ambassade d'Italie,48.854424,2.322342,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:30:00,"47 rue de Varenne, 75343 Paris France",Neighborhood: Tour Eiffel / Invalides,5,"#1,264 of 3,296 things to do in Paris",Points of Interest & Landmarks • Architectural Buildings,
947,ArtEthic Galerie,48.848286,2.346733,0,404,404,01:30:00,"3 rue de Lanneau, 75005 Paris France",Neighborhood: 5th Arr. - Panthéon,4,"#847 of 3,296 things to do in Paris",Art Galleries,Visit websiteCallEmail
948,Buste d'Antoine de Saint-Exupery,48.85718,2.31017,0,404,404,01:00:00,"1 avenue de la Motte Picquet Square Santiago du Chili, 75007 Paris France",Neighborhood: Tour Eiffel / Invalides,8,"#1,626 of 3,296 things to do in Paris",Points of Interest & Landmarks • Monuments & Statues,Visit website
949,Cimetière des Batignolles,48.897926,2.316554,0,404,404,01:30:00,"8 rue Saint Just, 75017 Paris France",Neighborhood: Épinettes,11,"#1,024 of 3,296 things to do in Paris",Cemeteries,Visit websiteCallEmail
950,Espace Sportif Pailleron,48.880863,2.377806,0,404,9:00 AM - 6:00 PM,02:30:00,"32 rue Edouard Pailleron 32 Rue Édouard Pailleron, 75019 Paris France",Neighborhood: 19th Arr. - Buttes-Chaumont,40,"#3,094 of 3,296 things to do in Paris",Sports Camps & Clinics,Visit websiteCall
951,Statue Jeune fille allongee,48.86173,2.33384,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Jardin du Carrousel, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,5,"#917 of 3,296 things to do in Paris",Monuments & Statues,
952,Le Poete ou Hommage a Paul Eluard,48.8465,2.34061,0,404,404,01:00:00,"69 boulevard Saint Michel Inside the Jardin du Luxembourg, 75005 Paris France",Neighborhood: 5th Arr. - Panthéon,5,"#1,428 of 3,296 things to do in Paris",Monuments & Statues,Visit website
953,A.P.C. Surplus,48.84862,2.33178,0,404,404,01:30:00,"45 rue Madame Sixth Arrondissement, 75006 Paris France",Neighborhood: 6th Arr. - Luxembourg,7,"#853 of 3,296 things to do in Paris",Factory Outlets,Call
954,Statue de Brest,48.86468,2.32056,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Place de la Concorde, 75008 Paris France",Neighborhood: Louvre / Palais-Royal,8,"#809 of 3,296 things to do in Paris",Monuments & Statues,
955,La Statue de Sainte-Geneviève,48.8465,2.34061,0,404,404,01:00:00,"69 boulevard Saint Michel Inside the Jardin du Luxembourg, 75005 Paris France",Neighborhood: 5th Arr. - Panthéon,5,"#2,322 of 3,296 things to do in Paris",Monuments & Statues,Visit website
956,Le Village Suisse,48.85171,2.29977,0,404,11:00 AM - 7:00 PM,01:30:00,"78 avenue de Suffren, 75015 Paris France",Neighborhood: Grenelle,23,"#598 of 3,296 things to do in Paris",Antique Shops,Visit websiteCallEmail
957,Fontaines de Pol Bury,48.863968,2.336988,0,/RestaurantsNear-g187147-d15130314-Fontaines_de_Pol_Bury-Paris_Ile_de_France.html,404,01:00:00,"Rue de Valois Galerie d'Orleans, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,10,"#892 of 3,296 things to do in Paris",Fountains,
958,Fondation Calouste Gulbenkian - Délégation en France,48.85904,2.31028,0,404,11:00 AM - 6:00 PM,01:30:00,"39 boulevard de la Tour Maubourg, 75007 Paris France",Neighborhood: Tour Eiffel / Invalides,10,"#1,058 of 3,296 things to do in Paris",Speciality Museums • Civic Centres • Art Museums,Visit websiteCallEmail
959,Église Saint Jean Baptiste de Grenelle,48.84298,2.29239,0,404,404,01:00:00,"23 Place Etienne Pernet, 75015 Paris France",Neighborhood: Javel,4,"#1,044 of 3,296 things to do in Paris",Points of Interest & Landmarks • Churches & Cathedrals,Visit website
960,Statue de Benjamin Franklin,48.86081,2.28618,0,/Restaurants-g187147-Paris_Ile_de_France.html,404,01:00:00,"Square Yorktown, 75016 Paris France",Neighborhood: 16th Arr. - Passy,5,"#962 of 3,296 things to do in Paris",Monuments & Statues,
